"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EHD2",3.41908293635561,-1.43149233692178,26.5173184775316,7.15615571677482e-84,4.56920542516072e-80,180.490372496924
"EML1",2.1670208676113,-1.04757649057791,25.8019336539394,3.21634181089831e-81,1.02681712312929e-77,174.432464812842
"HSPA12B",2.14682426451402,-0.855959020648961,23.7588758160531,1.65016966199726e-73,3.51211109728418e-70,156.815900041504
"FHL1",3.92916415447514,-1.68021019180142,22.8206806863425,6.59650203989487e-70,1.05296663811822e-66,148.582406261297
"OLFML1",3.23029766429468,-1.23134874241512,22.4455207886499,1.85879675342452e-68,2.37368345412312e-65,145.267356914803
"ABCA8",2.37877011833969,-1.25813966539964,22.3782113598942,3.38781462825515e-68,3.60519940023486e-65,144.671293718755
"CHGB",-7.19154283700034,-4.01901127596455,-21.5591274603723,5.18543034490025e-65,4.72985325031258e-62,137.388300828998
"EHD3",1.70331504568333,-0.758607072996624,21.4543762050156,1.32945457194153e-64,1.06107093023083e-61,136.453175081111
"CAV1",3.51794567286987,-2.04182290330876,21.2400084914197,9.15121193899179e-64,6.4922764700514e-61,134.537055331963
"OGN",4.2087851841198,-1.77025173408218,20.7743543037368,6.1079458153614e-62,3.89992340310825e-59,130.364201264466
"LYVE1",2.59461690152022,-1.18905150345876,20.4150359014901,1.57598960752535e-60,9.14790331277216e-58,127.135175545986
"TNS1",2.21326239459024,-0.814871572799363,19.9589562487547,9.8535266499406e-59,5.24289730498923e-56,123.026649464176
"CDH5",1.69176842609599,-0.608535981455428,19.831357977461,3.1392385829611e-58,1.54184910401589e-55,121.875431733363
"DPT",2.45891756019256,-0.846967639825768,19.5222757572922,5.21189489726284e-57,2.3769963513588e-54,119.084035063515
"RASIP1",1.40197443407239,-0.633374988623301,19.3357596117862,2.84469269681242e-56,1.21089085794316e-53,117.397854753881
"CFL2",2.2669302641345,-1.02922104462398,19.2645334466091,5.44028136571411e-56,2.17101228250529e-53,116.753640985506
"RRAS",1.68238648966774,-0.944905849292754,19.0822124565878,2.86219373182989e-55,1.07500629280787e-52,115.103936312507
"ILK",1.64650040096929,-0.539071957146095,18.9326367751044,1.11826818030287e-54,3.96674573957436e-52,113.74987041804
"ITIH5",2.22523541027738,-0.756671785687828,18.8050516083585,3.5772504250457e-54,1.20214441915352e-51,112.594478593974
"EHD1",1.26867817876804,-0.659339935760236,18.4642201288023,8.00217210595188e-53,2.55469344482514e-50,109.506563551075
"HSPB6",3.19378739955052,-1.23624779139158,18.4196576473781,1.20148517211994e-52,3.65308705904086e-50,109.102717005339
"TNS2",1.39894351764554,-0.523742950807701,18.2667657255546,4.84586818787039e-52,1.40640310816148e-49,107.717009891155
"TPM1",2.86308743757614,-1.40029675503603,18.2144843231602,7.80707865304833e-52,2.16731292172668e-49,107.243134025051
"SMTN",2.39856300285548,-1.33323344228978,18.1942400764596,9.39050630113642e-52,2.49826594719817e-49,107.059638194991
"KANK3",1.70964659469503,-0.825603096861915,18.0126698053148,4.92060263835357e-51,1.2567219138355e-48,105.413834335061
"DAG1",1.27666858826979,-0.498677357423567,17.9078298126074,1.28043180980483e-50,3.14444504061687e-48,104.463551110577
"NID1",1.815020803185,-0.6490304126386,17.8914347427058,1.48698320526076e-50,3.51643991318147e-48,104.314947983931
"ASPA",2.26253903606652,-0.990932218579343,17.8589024385787,2.00069997545302e-50,4.5623104797384e-48,104.020083026323
"DCN",3.05084531939062,-1.28046941646798,17.8027563263578,3.33884597430431e-50,7.35121777445965e-48,103.511204196989
"FERMT2",1.9842020750335,-0.734819222376569,17.7079321551266,7.92871061463772e-50,1.68749390914873e-47,102.65182658792
"GCOM1",1.3564620938731,-0.572459880745214,17.6095030200988,1.9455586052244e-49,4.00722312721219e-47,101.759879289288
"LAMB2",2.13164272489845,-0.735329829969381,17.4323603778527,9.78339958896806e-49,1.95209394923628e-46,100.154995728912
"PGM5",2.82783655165012,-1.48048770865207,17.2866089155647,3.69354653102602e-48,7.14645290927306e-46,98.8349517813749
"SYNPO2",2.56373973777919,-1.265598264448,17.1912530040808,8.80630318607065e-48,1.65377193656062e-45,97.9715965879944
"ARHGAP6",1.64699905314786,-0.71082312169025,17.0217570323822,4.12355461444241e-47,7.52254177520422e-45,96.4375924999054
"ALDH1A1",2.45830703074309,-1.03597069396773,16.9723821025908,6.46417828946665e-47,1.14649384384013e-44,95.9908974337019
"CNRIP1",2.022791231253,-0.578413622310642,16.9375120677906,8.8792739301837e-47,1.53227470389792e-44,95.6754777306749
"MYLK",2.29028846618582,-1.10887091635437,16.8428365273468,2.10183224913928e-46,3.53163129230376e-44,94.8193017136431
"VCL",1.54729324348841,-0.589182862973559,16.7972640282909,3.18184613409725e-46,5.20925322210536e-44,94.4072980735961
"RSU1",1.4357400358523,-0.610636726496869,16.6570756502065,1.13870063832384e-45,1.81765089392443e-43,93.1404411991056
"SORBS1",2.32087159414055,-0.919312732780146,16.5364098066596,3.40979321809409e-45,5.3101291945197e-43,92.0507061236889
"MYL9",2.1650899382433,-1.00941705199565,16.5009739291038,4.70491139615213e-45,7.15258553915032e-43,91.7308168687285
"CNN1",3.06659557043598,-1.55657000033481,16.4951422430526,4.96089039032879e-45,7.36634538191845e-43,91.6781786658228
"OLFML3",2.36754719665896,-0.740792176394457,16.4549280045505,7.14824913490399e-45,1.03730842559914e-42,91.3152423721171
"ADH1B",3.95853182511235,-1.96946475300166,16.4523498379444,7.31760569845447e-45,1.03828694188071e-42,91.2919770786044
"LDB3",2.50707653441098,-1.40722618841344,16.3744215498461,1.48483572398579e-44,2.01986334056788e-42,90.5889207042466
"VWF",1.52717291635848,-0.511928841674167,16.3742743025541,1.48682187950964e-44,2.01986334056788e-42,90.5875925729195
"KANK2",2.00611237161102,-0.665269729976084,16.3028134985564,2.84405858138038e-44,3.78319042544036e-42,89.9431777588965
"FLNC",2.4779066276703,-1.05417564995194,16.2676976844634,3.91120091661481e-44,5.0965342556297e-42,89.6266192859714
"HSPA12A",1.8214289022857,-0.505040023382628,16.1659042191005,9.84561735496084e-44,1.2572853362285e-41,88.7093973684423
"PARVA",1.7052033832016,-0.594138867371526,16.0942777572746,1.8844820789844e-43,2.35929766163048e-41,88.0643852778654
"LMOD1",2.35736816258592,-1.14079996058677,16.0642526162624,2.47366065132213e-43,3.03736985744073e-41,87.7941011504003
