"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MYL6",-2.03053969506541,-0.600468254967851,-23.3101000988671,8.62883113673511e-72,5.50950868080537e-68,152.634779776198
"MYL9",-3.05803328602342,-1.00941705199565,-22.0083534678737,9.23080560202915e-67,2.94693468844781e-63,141.186761520576
"SMTN",-2.91988748895158,-1.33323344228978,-20.9151322727247,1.71280642132441e-62,3.64542300005212e-59,131.465097846579
"SLMAP",-2.32206537898119,-0.897557040930954,-20.3859871686635,2.05027575091775e-60,3.27275266740246e-57,126.730509305513
"TPM1",-3.35610011740147,-1.40029675503603,-20.1617806095494,1.56433074280328e-59,1.99765035855979e-56,124.719566618902
"CFL2",-2.46897827701727,-1.02922104462398,-19.812957676406,3.71037452211776e-58,3.94845688728699e-55,121.585905136866
"COL21A1",-2.4178012448051,-0.788012042980198,-18.5066604694205,5.43389548873825e-53,4.95648895651339e-50,109.810864602675
"MYH11",-3.73694207692916,-1.50671781981477,-18.077177754071,2.73184286697357e-51,2.18035208820328e-48,105.931819470071
"CSRP1",-2.8740662930381,-1.17809189441948,-18.019579887015,4.62000640042125e-51,3.27763787407663e-48,105.411528816787
"TAGLN",-3.59889448922963,-1.31969274545245,-17.1629672734591,1.13948521806577e-47,7.27561311734997e-45,97.676625765758
"MYLK",-2.4130742212524,-1.10887091635437,-16.757430830025,4.57143230720955e-46,2.65350866195754e-43,94.0202171770147
"PTGS1",-1.61454726675993,-0.524861556252405,-16.408570066698,1.08900830298659e-44,5.79443167880779e-42,90.8799308025989
"CNN1",-3.19403786093375,-1.55657000033481,-16.2237531038458,5.82675993293376e-44,2.86183555167554e-41,89.2187554907859
"FLNA",-2.15019127173136,-0.938333361424461,-16.1044469429729,1.71858418995686e-43,7.83797146633896e-41,88.1474564017289
"MDH1",-1.07043075182114,-0.226266980256255,-15.9591039715194,6.41050452260907e-43,2.72873809179059e-40,86.8435847594382
"TPM2",-3.22153822739948,-1.35684461765221,-15.6495981189823,1.0523909431599e-41,4.19969760754746e-39,84.0720054748278
"PDLIM7",-2.18272567717851,-0.641498749500001,-15.435793296363,7.23998543488569e-41,2.71925335304383e-38,82.1618840496894
"SYNPO2",-2.401681588491,-1.265598264448,-15.2076018394441,5.6451562881098e-40,2.00246238331006e-37,80.1277821949783
"FLNC",-2.43677754632208,-1.05417564995194,-15.1066701868563,1.39792420099389e-39,4.69776106491893e-37,79.2297017922032
"EML1",-1.31802492241235,-1.04757649057791,-14.8191908408387,1.83890938163061e-38,5.87071820085572e-36,76.6777030197393
