"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EHD3",-2.19256536368326,-0.758607072996624,-26.9332577357119,2.10953442032575e-85,1.34693772737799e-81,183.627627141235
"HSPA12B",-2.28873092636728,-0.855959020648961,-24.7024232747228,4.29417710845059e-77,1.37091604187285e-73,164.737820547827
"RASIP1",-1.81253725388223,-0.633374988623301,-24.3794281455824,7.17003859702553e-76,1.5260232147336e-72,161.95603592215
"CLIC5",-3.06997524786805,-1.18625379164881,-22.0427828765019,6.78309053026235e-67,1.08275082589313e-63,141.519527616795
"KANK3",-2.12541096688078,-0.825603096861915,-21.8388662365167,4.21254486704943e-66,5.37941979522212e-63,139.712650549705
"GCOM1",-1.59454274325333,-0.572459880745214,-20.1878947350172,1.23447630805938e-59,1.31368853782652e-56,124.974145048343
"CDH5",-1.73205562244557,-0.608535981455428,-19.8010765213768,4.13328050178472e-58,3.77014228627077e-55,121.497738011795
"PECAM1",-1.60321641340655,-0.531288851940914,-18.5206956687592,4.78104612779412e-53,3.81587244074568e-50,109.951331928069
"EHD4",-1.19571775841558,-0.327742814131229,-18.4615962522069,8.19597720825584e-53,5.81459049719039e-50,109.417441613119
"ESAM",-1.66057939794416,-0.599449971125491,-17.6485144739122,1.36313967427749e-49,8.7036468202618e-47,102.07042299519
"PDLIM2",-1.73389437077425,-0.477961774627211,-17.4519624076702,8.18241353280888e-49,4.7495191279077e-46,100.294866345628
"VWF",-1.65864645809145,-0.511928841674167,-17.3437538956918,2.19411750919401e-48,1.16745335801698e-45,99.317627013116
"OLFML1",-2.53318301811899,-1.23134874241512,-17.1660012495315,1.1084215025117e-47,5.44405484118248e-45,97.7128644975001
"MMRN2",-1.68800243943676,-0.64236911848763,-16.9636349947808,7.00000043472818e-47,3.01122088876477e-44,95.8868999492036
"ACTN2",-2.55187176745265,-0.715276916027367,-16.9624778972139,7.07412894776376e-47,3.01122088876477e-44,95.8764629650233
"ACP5",-1.99025717621111,-0.773295774897722,-16.9481752992689,8.05787665735566e-47,3.21559640357599e-44,95.7474576093227
"SPTBN1",-1.24796234499827,-0.353552837088188,-16.3174800708493,2.4896416603422e-44,9.35080117722642e-42,90.0669588249749
"EHD1",-1.1380689189998,-0.659339935760236,-16.1533830061987,1.10291310446923e-43,3.91227787335334e-41,88.5922316245952
"UACA",-1.40472224826174,-0.219330321000223,-15.9667862827983,5.97982616258549e-43,2.00953631832149e-40,86.917326221134
"EHD2",-2.03795694589044,-1.43149233692178,-15.414534091105,8.76846577060322e-41,2.79933269726508e-38,81.9752835688838
"SORBS3",-1.28429715791797,-0.435656554797113,-15.2808460833758,2.92159199256221e-40,8.88303089167128e-38,80.782836942358
"CD93",-1.79744408174424,-0.366222720473412,-14.884035434477,1.02917194607364e-38,2.98693767076371e-36,77.2540199278831
"STX11",-1.58241345407346,-0.585211998683462,-14.5717741415557,1.67628287065886e-37,4.65350701267688e-35,74.4896055921722
"CDH13",-1.55470070494825,-0.646945903804783,-14.0490129596196,1.74058662198633e-35,4.63068565890947e-33,69.8904731024038
"AGRN",-1.38593736777486,-0.433704772955562,-14.0230194621772,2.19031610625541e-35,5.59406733537631e-33,69.6628285979267
"RGCC",-1.6476778652894,-0.338963906554342,-13.9307284942647,4.94905503495406e-35,1.21537370762237e-32,68.8554216916959
"GIMAP8",-1.39036435170285,-0.61493719934442,-13.6946303161499,3.95775365142592e-34,9.35935446827945e-32,66.7962186497447
"OLFML3",-2.00761747045682,-0.740792176394457,-13.6079823131202,8.46839692163811e-34,1.93109694088069e-31,66.0428639897691
"SLC9A3R2",-1.1797895609937,-0.375314923300287,-13.4814970055109,2.56452349659064e-33,5.6463732847349e-31,64.9455402012101
"CAV1",-2.2835528212863,-2.04182290330876,-13.4459672197425,3.49906661525298e-33,7.44718011279675e-31,64.6378251923638
"PPM1F",-0.844913656233737,-0.31378546953862,-13.2942250764913,1.31563942207506e-32,2.70979280966104e-30,63.3262886564757
"S100A10",-1.83922680536142,-0.52706250017628,-13.1546495636209,4.43109810068725e-32,8.84142542902753e-30,62.1238465476066
"ASPA",-1.70702840672261,-0.990932218579343,-13.1405898728206,5.0065927354426e-32,9.68699836842455e-30,62.0029375714065
"SPTAN1",-1.06665256851144,-0.358560539426821,-13.03936471916,1.20458080514951e-31,2.26213189437636e-29,61.1336228162207
"TJP1",-0.984110135413844,-0.3566553724571,-13.0283821281489,1.32480026128595e-31,2.41681419094595e-29,61.0394322098738
"CAT",-1.54399276517801,-0.654689812822471,-12.9851759554302,1.9256562400543e-31,3.41536530354075e-29,60.6691256909205
"ENO3",-2.31792673987045,-0.539529541988411,-12.9761457638568,2.08211803876326e-31,3.59306045337929e-29,60.5917803987297
"NEBL",-1.64876754620406,-0.264712698508079,-12.9316083090653,3.06002204679603e-31,5.14164230757701e-29,60.2105619681958
"ABLIM1",-1.45515387341181,-0.50324496446874,-12.9269549654907,3.18555708335457e-31,5.21532871210741e-29,60.1707560909057
"RIPOR1",-0.795136064053898,-0.220022345432638,-12.7618633123887,1.32237121149227e-30,2.11083504634453e-28,58.7615683092085
"UTRN",-0.953846172549563,-0.274071099369738,-12.7258075157682,1.80308253642184e-30,2.80797121830571e-28,58.4546068038773
"TMOD3",-0.630669203815136,0.0717172260638665,-12.636242143175,3.89025812528267e-30,5.91411860236425e-28,57.6933687309873
"FCN3",-1.51523028324562,-0.666789487014213,-12.4675777680791,1.64702845611406e-29,2.44564574239262e-27,56.2649219640019
"PXN",-0.800984223146493,-0.0760777675252056,-12.4508805417319,1.89926834293857e-29,2.75609735674154e-27,56.123879320321
"IL33",-2.04663223391177,-0.818290606270758,-12.4271206968848,2.32593647410942e-29,3.30024541937526e-27,55.9232948445053
"LMO7",-1.38923132614103,-0.169976549058553,-12.3425904312499,4.77787459010139e-29,6.63189766473856e-27,55.2107985051997
"PALMD",-1.41058813570644,-0.512007794827658,-12.331012236998,5.27227267942162e-29,7.1624385230015e-27,55.1133449089848
"CD36",-2.4540682261581,-1.32836743357492,-12.3064726053297,6.49509466726882e-29,8.63982905218987e-27,54.9069057578882
