,Importance_Score
EHD3,0.02363662983634669
MYL6,0.020164564702981086
CAV1,0.01738355246164892
CHGB,0.016822896278417546
MYL9,0.014108214619857208
PPP1R3D,0.011871106645037701
CFL2,0.011324854689957078
ERBB2,0.010247245995603458
CLIC5,0.010168551641349418
ABCA8,0.009963551140396218
TAGLN,0.009558027476170046
TNS2,0.008915504445802825
EHD1,0.008523489790457764
MYLK,0.00848297235356432
SYNM,0.00836412377446929
EHD2,0.008361185802077151
ESAM,0.008275376952212449
SMTN,0.008201321218795224
OGN,0.007781316586696227
RRAS,0.007733922998914087
